,pair,residuals,beta
297,"('ES', 'SBAC')","0       11.291792
1       11.797417
2        8.218761
3       14.152586
4       18.135842
          ...    
2511     0.575567
2512    -3.433038
2513    -1.227981
2514     1.960253
2515     2.924102
Length: 2516, dtype: float64","const   -96.944742
ES        5.095859
dtype: float64"
298,"('ETN', 'JNPR')","0      -2.620536
1      -2.843492
2      -2.894690
3      -2.742885
4      -2.522658
          ...   
2511   -2.207627
2512   -1.822796
2513   -0.720644
2514   -0.323295
2515   -0.496805
Length: 2516, dtype: float64","const    17.687468
ETN       0.059368
dtype: float64"
299,"('ETN', 'KLAC')","0      -31.566319
1      -32.067823
2      -31.928728
3      -31.009011
4      -33.238710
          ...    
2511   -22.831857
2512     6.663558
2513    17.545328
2514    26.002850
2515    26.227792
Length: 2516, dtype: float64","const   -53.559808
ETN       2.495502
dtype: float64"
300,"('ETN', 'LEN')","0       -1.554717
1       -1.218225
2       -0.600976
3       -0.644840
4       -0.141797
          ...    
2511   -31.164710
2512   -31.391604
2513   -28.981153
2514   -30.021643
2515   -30.901896
Length: 2516, dtype: float64","const    19.661655
ETN       0.437272
dtype: float64"
301,"('ETN', 'LLY')","0        4.681438
1        3.864754
2        3.288433
3        4.143224
4        1.739864
          ...    
2511    -5.157361
2512    25.140864
2513    42.772990
2514    57.339806
2515    84.002336
Length: 2516, dtype: float64","const   -99.696213
ETN       2.805825
dtype: float64"
302,"('ETN', 'MPWR')","0       -65.332082
1       -66.279926
2       -65.907261
3       -64.708463
4       -66.769728
           ...    
2511   -173.547511
2512   -153.671967
2513   -124.329718
2514   -128.169074
2515   -130.168678
Length: 2516, dtype: float64","const   -31.537789
ETN       2.580735
dtype: float64"
303,"('ETN', 'PANW')","0       -4.885420
1       -5.022995
2       -4.717929
3       -3.990843
4       -4.351368
          ...    
2511     6.497412
2512    11.038694
2513    12.045935
2514    15.188229
2515    16.534867
Length: 2516, dtype: float64","const   -4.720671
ETN      0.559500
dtype: float64"
304,"('ETN', 'PHM')","0      -0.475083
1      -0.448266
2      -0.225573
3      -0.423822
4      -0.399038
          ...   
2511   -6.369041
2512   -6.936049
2513   -5.444522
2514   -4.697110
2515   -6.259549
Length: 2516, dtype: float64","const   -0.097785
ETN      0.368358
dtype: float64"
305,"('ETN', 'URI')","0       -6.717119
1       -5.662663
2       -6.678319
3       -6.904487
4       -7.878328
          ...    
2511    16.342712
2512    22.757264
2513    39.727857
2514    23.108233
2515    32.310189
Length: 2516, dtype: float64","const   -35.598527
ETN       2.381190
dtype: float64"
306,"('ETN', 'VMC')","0      -36.870889
1      -36.048811
2      -34.873129
3      -34.455546
4      -33.790927
          ...    
2511     0.670580
2512     4.471077
2513     5.818179
2514     7.739565
2515     8.724090
Length: 2516, dtype: float64","const    72.510512
ETN       0.615638
dtype: float64"
307,"('EVRG', 'VTRS')","0        0.558271
1       -0.807847
2        0.565050
3       -0.163901
4        0.267948
          ...    
2511    10.326356
2512    10.971695
2513    10.113423
2514    11.008169
2515    11.347592
Length: 2516, dtype: float64","const    82.113365
EVRG     -1.264761
dtype: float64"
308,"('EXPD', 'JBHT')","0       4.477549
1       4.117999
2       3.893265
3       3.680475
4       4.102824
          ...   
2511   -4.057973
2512   -4.004158
2513   -4.704251
2514   -2.285958
2515   -2.164474
Length: 2516, dtype: float64","const    14.083254
EXPD      1.419217
dtype: float64"
309,"('EXPD', 'LH')","0       -2.107812
1       -2.907464
2       -1.839529
3       -0.851998
4       -1.092407
          ...    
2511    35.816019
2512    38.278237
2513    34.462630
2514    38.788857
2515    37.069562
Length: 2516, dtype: float64","const    35.411228
EXPD      1.572220
dtype: float64"
310,"('EXPD', 'MNST')","0      -1.641296
1      -1.726539
2      -1.400840
3      -1.348322
4      -1.343837
          ...   
2511   -1.277116
2512   -1.396418
2513   -2.936939
2514   -3.137638
2515   -2.708162
Length: 2516, dtype: float64","const    5.743815
EXPD     0.389534
dtype: float64"
311,"('EXPD', 'MSCI')","0       16.379535
1       19.128939
2       17.519756
3       16.642197
4       15.814471
          ...    
2511    77.637599
2512    81.662034
2513    72.748946
2514    74.596554
2515    78.535003
Length: 2516, dtype: float64","const   -225.808062
EXPD       6.558729
dtype: float64"
312,"('EXPD', 'ROK')","0      -4.360306
1      -1.699817
2      -2.333061
3      -2.252025
4      -0.946071
          ...   
2511    5.245937
2512    4.552122
2513   -0.145695
2514    1.602575
2515   -0.039428
Length: 2516, dtype: float64","const    1.963856
EXPD     2.387922
dtype: float64"
313,"('EXPD', 'TXN')","0       -4.853131
1       -4.416584
2       -3.665107
3       -3.661512
4       -2.919668
          ...    
2511    13.228467
2512    14.291312
2513    11.088510
2514    13.200300
2515    14.953461
Length: 2516, dtype: float64","const   -20.602647
EXPD      1.690299
dtype: float64"
314,"('F', 'WY')","0      -3.200176
1      -3.270631
2      -3.183349
3      -3.416098
4      -3.211266
          ...   
2511    3.140939
2512    3.570624
2513    2.534753
2514    2.971349
2515    3.910252
Length: 2516, dtype: float64","const    11.57988
F         1.57730
dtype: float64"
315,"('FANG', 'WBD')","0       0.902455
1       0.956439
2       1.656747
3       1.340563
4       1.605399
          ...   
2511   -1.875376
2512   -2.136835
2513   -1.955625
2514   -2.063573
2515   -2.989020
Length: 2516, dtype: float64","const    37.710626
FANG     -0.154510
dtype: float64"
316,"('FAST', 'LOW')","0       -0.613619
1       -1.297748
2       -0.963300
3       -0.814614
4       -0.234490
          ...    
2511    -5.694911
2512   -10.958651
2513    -8.325371
2514    -8.342254
2515   -10.829566
Length: 2516, dtype: float64","const    2.724072
FAST     3.591082
dtype: float64"
317,"('FAST', 'MPWR')","0        7.698011
1        7.294899
2        7.737466
3        9.521328
4        9.932860
          ...    
2511   -80.157282
2512   -94.473575
2513   -60.640866
2514   -67.236248
2515   -75.705137
Length: 2516, dtype: float64","const   -156.208591
FAST      11.929764
dtype: float64"
318,"('FAST', 'MSFT')","0       -9.314288
1       -9.148474
2       -9.594747
3       -8.974735
4       -8.469421
          ...    
2511   -21.609817
2512   -29.036051
2513   -23.957535
2514   -25.433718
2515   -25.757598
Length: 2516, dtype: float64","const   -64.753584
FAST      6.846305
dtype: float64"
319,"('FAST', 'QCOM')","0        7.410493
1        8.051472
2       10.180390
3       10.424282
4       10.522598
          ...    
2511    -5.217284
2512    -9.049966
2513    -4.988264
2514    -3.001462
2515   -12.005624
Length: 2516, dtype: float64","const    3.792331
FAST     2.380597
dtype: float64"
320,"('FAST', 'SO')","0      -1.164241
1      -1.384519
2      -0.888889
3      -1.261500
4      -1.840858
          ...   
2511    3.169346
2512    2.782349
2513    2.461737
2514    2.834975
2515    2.090600
Length: 2516, dtype: float64","const    18.679563
FAST      0.847912
dtype: float64"
321,"('FAST', 'VRSK')","0      -16.974071
1      -16.860190
2      -17.080182
3      -16.310490
4      -15.419597
          ...    
2511    11.728596
2512    13.587170
2513    13.659571
2514    14.902714
2515    15.586837
Length: 2516, dtype: float64","const    25.258844
FAST      3.419615
dtype: float64"
322,"('FAST', 'WTW')","0      -16.195466
1      -16.262554
2      -16.163247
3       -9.266655
4       -8.180435
          ...    
2511    40.617639
2512    40.279089
2513    31.507464
2514    30.798525
2515    33.879458
Length: 2516, dtype: float64","const    69.454182
FAST      2.996971
dtype: float64"
323,"('FCX', 'LYB')","0      -11.132295
1      -10.767551
2      -10.168274
3      -10.701398
4       -9.845748
          ...    
2511    -5.925609
2512    -5.335000
2513    -3.977444
2514    -5.415328
2515    -5.046695
Length: 2516, dtype: float64","const    47.947420
FCX       0.939419
dtype: float64"
324,"('FCX', 'NXPI')","0      -37.764599
1      -41.276426
2      -37.574465
3      -35.461250
4      -37.116455
          ...    
2511    22.862043
2512    19.003229
2513    14.267679
2514    24.331704
2515    25.338717
Length: 2516, dtype: float64","const    46.592767
FCX       3.879922
dtype: float64"
325,"('FCX', 'WY')","0      -0.870652
1      -1.069772
2      -0.595882
3      -0.645647
4      -0.581034
          ...   
2511    0.427648
2512    0.554530
2513   -0.248717
2514   -0.111053
2515   -0.291183
Length: 2516, dtype: float64","const    19.018381
FCX       0.311687
dtype: float64"
326,"('FDS', 'KO')","0      -1.217334
1      -1.420601
2      -0.688293
3      -0.777759
4      -1.167826
          ...   
2511    1.310556
2512    1.596085
2513    1.184372
2514    1.455513
2515    1.629840
Length: 2516, dtype: float64","const    19.314852
FDS       0.090332
dtype: float64"
327,"('FDS', 'PARA')","0      -3.177235
1      -3.111912
2      -2.781101
3      -2.908366
4      -1.798745
          ...   
2511   -3.667053
2512   -4.288374
2513   -4.402682
2514   -4.279809
2515   -4.398744
Length: 2516, dtype: float64","const    63.155456
FDS      -0.102461
dtype: float64"
328,"('FI', 'WMT')","0        9.404364
1        9.124811
2        9.283374
3        8.983901
4        8.700222
          ...    
2511     8.563917
2512     9.698361
2513    11.944434
2514     7.152696
2515     7.049373
Length: 2516, dtype: float64","const   -1.868012
FI       0.423367
dtype: float64"
329,"('FICO', 'UHS')","0      -11.138360
1      -12.236116
2      -10.091142
3      -10.066643
4      -12.114668
          ...    
2511    -6.116586
2512    -1.863843
2513     0.908164
2514    -0.218721
2515    -7.028620
Length: 2516, dtype: float64","const    108.282072
FICO       0.046112
dtype: float64"
330,"('FITB', 'PNC')","0      -4.665218
1      -5.054940
2      -4.724420
3      -4.820671
4      -4.719449
          ...   
2511    3.707366
2512    3.426870
2513    3.538696
2514    2.998367
2515    3.843032
Length: 2516, dtype: float64","const    15.841367
FITB      4.093912
dtype: float64"
331,"('FITB', 'STX')","0       15.117071
1       15.583061
2       15.350406
3       15.848334
4       15.325215
          ...    
2511    -4.320679
2512    -5.311542
2513    -5.047405
2514    -4.408225
2515    -3.989046
Length: 2516, dtype: float64","const   -12.437364
FITB      2.552878
dtype: float64"
332,"('FITB', 'WAT')","0      -23.253504
1      -23.984595
2      -23.397952
3      -22.915716
4      -24.930203
          ...    
2511    18.052063
2512    19.880423
2513    16.610007
2514    19.390519
2515    14.571025
Length: 2516, dtype: float64","const    31.070780
FITB      8.268047
dtype: float64"
333,"('FTNT', 'LOW')","0       -8.949295
1       -9.583272
2       -9.280795
3       -9.825810
4       -9.290720
          ...    
2511   -44.734570
2512   -48.324477
2513   -52.283863
2514   -56.755969
2515   -56.906325
Length: 2516, dtype: float64","const    53.143147
FTNT      2.494364
dtype: float64"
334,"('FTNT', 'MS')","0       -1.587314
1       -1.642857
2       -1.394915
3       -1.346777
4       -0.985374
          ...    
2511    12.159560
2512    10.868937
2513     8.539784
2514     8.337713
2515    10.548604
Length: 2516, dtype: float64","const    22.216106
FTNT      1.031466
dtype: float64"
335,"('FTNT', 'PAYX')","0      -11.575124
1      -11.714497
2      -11.528945
3      -11.486671
4      -11.348432
          ...    
2511   -12.118722
2512   -11.192581
2513   -12.544511
2514   -13.915377
2515   -14.173160
Length: 2516, dtype: float64","const    39.487540
FTNT      1.192518
dtype: float64"
336,"('GD', 'JNPR')","0      -0.219724
1      -0.254531
2      -0.373484
3      -0.166271
4       0.041428
          ...   
2511    2.162260
2512    1.930317
2513    2.908353
2514    3.226140
2515    3.480855
Length: 2516, dtype: float64","const    7.622297
GD       0.097577
dtype: float64"
337,"('GD', 'PRU')","0       -2.620308
1       -2.292159
2       -2.109957
3       -1.109547
4       -1.702050
          ...    
2511    14.870103
2512    13.140950
2513    11.897593
2514     7.592287
2515     7.783254
Length: 2516, dtype: float64","const    13.084647
GD        0.361138
dtype: float64"
338,"('GD', 'WBD')","0      -1.701692
1      -1.804123
2      -0.888267
3      -1.226269
4      -1.379293
          ...   
2511   -2.500155
2512   -2.830300
2513   -2.822298
2514   -2.544440
2515   -3.301308
Length: 2516, dtype: float64","const    45.981092
GD       -0.128574
dtype: float64"
339,"('GDDY', 'NRG')","36      14.282261
37       9.798891
38       9.925236
39      10.696783
40      11.299722
          ...    
2511    -4.614726
2512    -3.976633
2513    -3.792049
2514    -2.278768
2515    -1.969308
Length: 2480, dtype: float64","const   -4.756475
GDDY     0.523730
dtype: float64"
340,"('GEHC', 'YUM')","1979    4.963211
1980    5.543931
1981    4.710459
1982    4.559715
1983    4.866802
          ...   
2511   -4.277757
2512   -2.883954
2513   -2.624832
2514   -2.964468
2515    7.502462
Length: 537, dtype: float64","const    90.761637
GEHC      0.498484
dtype: float64"
341,"('GEV', 'LKQ')","2301    8.741162
2302    8.262913
2303    7.619672
2304    6.270516
2305    6.516843
          ...   
2511    0.723254
2512   -0.026080
2513   -0.214169
2514   -0.028260
2515    0.743563
Length: 215, dtype: float64","const    47.326813
GEV      -0.028588
dtype: float64"
342,"('GEV', 'NRG')","2301   -4.732294
2302   -6.020930
2303   -2.373622
2304   -2.368113
2305    0.045486
          ...   
2511    2.063195
2512    4.021397
2513    3.594158
2514    3.509626
2515    2.741899
Length: 215, dtype: float64","const    57.267343
GEV       0.114432
dtype: float64"
343,"('GEV', 'PODD')","2301    -9.936938
2302   -13.121865
2303   -11.172704
2304    -7.951972
2305    -4.763031
          ...    
2511     1.355748
2512     6.662962
2513     8.463012
2514     9.797223
2515     7.281271
Length: 215, dtype: float64","const    117.215976
GEV        0.428578
dtype: float64"
344,"('GEV', 'SLB')","2301    7.179852
2302    6.592481
2303    6.687119
2304    5.770040
2305    6.408469
          ...   
2511    0.400061
2512   -0.058327
2513    0.837038
2514    1.058238
2515    0.321933
Length: 215, dtype: float64","const    50.925245
GEV      -0.030368
dtype: float64"
345,"('GNRC', 'KMX')","0       0.182954
1       0.138344
2       1.102499
3       1.152785
4       1.638865
          ...   
2511    1.973736
2512    1.465586
2513    1.754862
2514    1.552451
2515    3.796476
Length: 2516, dtype: float64","const    55.628331
GNRC      0.187758
dtype: float64"
346,"('GOOG', 'MAS')","0      -5.224744
1      -5.051236
2      -5.115668
3      -5.252293
4      -5.129317
          ...   
2511   -4.497294
2512   -5.167764
2513   -7.178409
2514   -1.978514
2515   -1.596123
Length: 2516, dtype: float64","const    16.434405
GOOG      0.327543
dtype: float64"
347,"('GOOG', 'MPWR')","0        36.528381
1        36.505095
2        35.947605
3        36.549404
4        35.510270
           ...    
2511   -216.185795
2512   -210.801774
2513   -207.226978
2514   -141.618333
2515   -143.014833
Length: 2516, dtype: float64","const   -117.067580
GOOG       4.720931
dtype: float64"
348,"('GOOG', 'SHW')","0        3.018515
1        1.512261
2        2.399235
3        1.847812
4        2.749397
          ...    
2511   -53.862713
2512   -48.932508
2513   -58.317818
2514   -24.894984
2515   -25.112445
Length: 2516, dtype: float64","const    33.455999
GOOG      1.841278
dtype: float64"
349,"('GOOG', 'STX')","0       15.401788
1       15.766373
2       15.411690
3       15.806943
4       15.852748
          ...    
2511   -16.782812
2512   -18.151287
2513   -19.710279
2514   -11.431837
2515   -10.353958
Length: 2516, dtype: float64","const    8.153523
GOOG     0.510648
dtype: float64"
350,"('GOOG', 'VMC')","0      -14.508483
1      -13.471130
2      -12.502166
3      -12.228613
4      -11.308571
          ...    
2511    -5.429747
2512    -5.185447
2513    -9.815254
2514     8.190005
2515     9.293595
Length: 2516, dtype: float64","const    54.928194
GOOG      1.092663
dtype: float64"
351,"('GOOGL', 'MAS')","0      -4.988421
1      -4.790088
2      -4.886999
3      -5.003528
4      -4.900345
          ...   
2511   -4.718108
2512   -5.427824
2513   -7.495009
2514   -1.996836
2515   -1.671770
Length: 2516, dtype: float64","const    15.970966
GOOGL     0.333434
dtype: float64"
352,"('GOOGL', 'MPWR')","0        40.124516
1        40.459787
2        39.432394
3        40.324191
4        38.998453
           ...    
2511   -219.765054
2512   -214.937486
2513   -212.194638
2514   -142.237093
2515   -144.457998
Length: 2516, dtype: float64","const   -124.025119
GOOGL      4.809137
dtype: float64"
353,"('GOOGL', 'SHW')","0        4.300773
1        2.933885
2        3.638720
3        3.200179
4        3.990817
          ...    
2511   -55.007499
2512   -50.300167
2513   -59.999172
2514   -24.911677
2515   -25.451839
Length: 2516, dtype: float64","const    30.918409
GOOGL     1.873586
dtype: float64"
354,"('GOOGL', 'STX')","0       15.768959
1       16.172240
2       15.766935
3       16.193516
4       16.208471
          ...    
2511   -17.124429
2512   -18.554153
2513   -20.201179
2514   -11.458043
2515   -10.469548
Length: 2516, dtype: float64","const    7.432857
GOOGL    0.519810
dtype: float64"
355,"('GOOGL', 'VMC')","0      -13.672246
1      -12.551889
2      -11.691721
3      -11.351041
4      -10.497360
          ...    
2511    -6.266331
2512    -6.150633
2513   -10.973344
2514     8.039495
2515     8.952313
Length: 2516, dtype: float64","const    53.312148
GOOGL     1.113147
dtype: float64"
356,"('GPC', 'ON')","0      -3.139646
1      -2.681248
2      -2.887310
3      -2.876859
4      -3.040592
          ...   
2511    2.808640
2512    0.993800
2513    0.028180
2514    0.509296
2515    1.686560
Length: 2516, dtype: float64","const   -43.877344
GPC       0.803516
dtype: float64"
357,"('GPC', 'ULTA')","0      -92.045810
1      -89.189970
2      -88.148508
3      -89.023912
4      -89.685161
          ...    
2511    56.797995
2512    53.773204
2513    50.046554
2514    49.078537
2515    41.199940
Length: 2516, dtype: float64","const    8.299090
GPC      2.985401
dtype: float64"
358,"('GPN', 'SLB')","0      -2.006137
1      -1.941569
2      -2.316719
3      -2.641376
4      -1.483169
          ...   
2511   -5.322269
2512   -6.115834
2513   -5.254959
2514   -4.838588
2515   -5.967981
Length: 2516, dtype: float64","const    80.234478
GPN      -0.309355
dtype: float64"
359,"('GPN', 'ZBH')","0       10.809370
1        9.629081
2       11.611654
3       11.412904
4       12.304691
          ...    
2511    -5.443638
2512    -6.085668
2513    -6.252853
2514    -6.347098
2515   -10.509737
Length: 2516, dtype: float64","const    79.827818
GPN       0.310995
dtype: float64"
360,"('GRMN', 'MAS')","0       -9.369879
1       -9.343652
2       -9.333438
3       -9.534917
4       -9.691241
          ...    
2511    -9.013868
2512   -10.533484
2513   -11.796386
2514   -11.527063
2515   -10.768418
Length: 2516, dtype: float64","const    16.114136
GRMN      0.334398
dtype: float64"
361,"('GWW', 'JNPR')","0      -2.655819
1      -2.848134
2      -2.875538
3      -2.722407
4      -2.388950
          ...   
2511   -2.174493
2512   -2.146471
2513   -1.008830
2514   -0.585005
2515   -0.783285
Length: 2516, dtype: float64","const    17.153823
GWW       0.018708
dtype: float64"
362,"('GWW', 'KLAC')","0      -34.756780
1      -33.981937
2      -32.840945
3      -31.874364
4      -29.367386
          ...    
2511   -16.102620
2512    -1.736019
2513    10.603464
2514    20.176618
2515    19.342049
Length: 2516, dtype: float64","const   -72.613993
GWW       0.778188
dtype: float64"
363,"('GWW', 'LLY')","0        2.617394
1        3.246127
2        3.794742
3        4.710161
4        7.652893
          ...    
2511    -2.352017
2512    11.052609
2513    30.354077
2514    46.172843
2515    71.660421
Length: 2516, dtype: float64","const   -124.132671
GWW        0.882273
dtype: float64"
364,"('GWW', 'PANW')","0       -4.879231
1       -4.725741
2       -4.196781
3       -3.455428
4       -2.744313
          ...    
2511     5.751052
2512     6.955600
2513     8.304045
2514    11.695324
2515    12.812144
Length: 2516, dtype: float64","const   -10.419822
GWW       0.177937
dtype: float64"
365,"('GWW', 'PWR')","0        3.080789
1        3.323948
2        3.110823
3        3.379005
4        4.569049
          ...    
2511    15.454044
2512    14.611822
2513    14.060792
2514    12.728261
2515    21.863419
Length: 2516, dtype: float64","const   -37.901448
GWW       0.310593
dtype: float64"
366,"('HCA', 'JNPR')","0      -1.118849
1      -1.300410
2      -1.414342
3      -1.279435
4      -1.000724
          ...   
2511    0.732890
2512    0.220501
2513    1.252895
2514    1.570811
2515    2.138590
Length: 2516, dtype: float64","const    15.911443
HCA       0.055214
dtype: float64"
367,"('HCA', 'MPWR')","0        3.436695
1        4.312214
2        1.899716
3        2.365256
4        2.844656
          ...    
2511   -51.678181
2512   -70.960526
2513   -44.668392
2514   -52.032702
2515   -21.289507
Length: 2516, dtype: float64","const   -114.490642
HCA        2.435630
dtype: float64"
368,"('HCA', 'OTIS')","1287    -6.721191
1288    -6.079146
1289   -10.798668
1290   -12.198112
1291   -12.278592
          ...    
2511     1.003898
2512    -0.664765
2513    -0.875733
2514    -1.125047
2515     2.501574
Length: 1229, dtype: float64","const    34.395719
HCA       0.181930
dtype: float64"
369,"('HCA', 'TSCO')","0       2.511042
1       2.557055
2       2.394795
3       2.297571
4       2.395830
          ...   
2511    2.940297
2512    2.445494
2513    1.824079
2514    1.063542
2515    2.805687
Length: 2516, dtype: float64","const   -2.298329
HCA      0.162826
dtype: float64"
370,"('HD', 'J')","0       0.950988
1       1.549537
2       0.940928
3       1.409620
4       1.394907
          ...   
2511   -0.814163
2512   -1.074821
2513   -6.788385
2514   -9.296647
2515   -8.441277
Length: 2516, dtype: float64","const    1.568542
HD       0.338307
dtype: float64"
371,"('HD', 'NDAQ')","0       0.649543
1       0.543759
2       0.207836
3       0.440269
4       0.321058
          ...   
2511    6.797222
2512    6.993122
2513    6.270954
2514    6.965285
2515    7.567626
Length: 2516, dtype: float64","const   -3.257834
HD       0.191273
dtype: float64"
372,"('HD', 'SHW')","0       17.236352
1       15.948983
2       15.975509
3       15.597061
4       15.790469
          ...    
2511    -8.646203
2512    -6.209745
2513    -8.766297
2514    -4.015590
2515    -5.200809
Length: 2516, dtype: float64","const   -11.453647
HD        0.918151
dtype: float64"
373,"('HD', 'SPGI')","0        4.669889
1        4.849729
2        3.117422
3        3.828775
4        5.444449
          ...    
2511   -13.178577
2512   -11.748623
2513   -20.219835
2514   -22.867052
2515   -19.401487
Length: 2516, dtype: float64","const   -36.032015
HD        1.385069
dtype: float64"
374,"('HD', 'WTW')","0       -0.640832
1       -0.475085
2       -1.169351
3        5.539864
4        5.814942
          ...    
2511    36.820614
2512    39.804155
2513    27.847242
2514    26.824298
2515    31.055833
Length: 2516, dtype: float64","const    51.762383
HD        0.584948
dtype: float64"
375,"('HES', 'NUE')","0      -25.327329
1      -26.293345
2      -25.510533
3      -25.598497
4      -26.970468
          ...    
2511   -24.130893
2512   -21.029246
2513   -26.084133
2514   -23.637819
2515   -22.601577
Length: 2516, dtype: float64","const   -8.463820
HES      1.158201
dtype: float64"
376,"('HES', 'STLD')","0      -24.369070
1      -24.865476
2      -24.149955
3      -24.117513
4      -25.061098
          ...    
2511    18.142190
2512    18.044476
2513    12.904286
2514    15.980738
2515    15.394107
Length: 2516, dtype: float64","const   -16.659851
HES       0.911441
dtype: float64"
377,"('HES', 'WBD')","0       4.143214
1       4.396571
2       5.048028
3       4.809424
4       4.826724
          ...   
2511   -2.550131
2512   -2.863200
2513   -2.310071
2514   -2.186685
2515   -2.528135
Length: 2516, dtype: float64","const    35.978613
HES      -0.165349
dtype: float64"
378,"('HIG', 'JNPR')","0      -1.129194
1      -1.365146
2      -1.430538
3      -1.290071
4      -1.109839
          ...   
2511   -3.288309
2512   -3.735755
2513   -2.597677
2514   -2.555691
2515   -2.592222
Length: 2516, dtype: float64","const    11.756212
HIG       0.236594
dtype: float64"
379,"('HLT', 'MSI')","0       -9.337995
1       -7.207099
2      -10.634870
3      -13.080980
4      -12.967871
          ...    
2511    -7.324599
2512    -3.607416
2513   -10.572602
2514     0.860031
2515   -26.017897
Length: 2516, dtype: float64","const   -39.213943
HLT       2.014248
dtype: float64"
380,"('HLT', 'PEG')","0      -5.856095
1      -6.146157
2      -6.154200
3      -7.109479
4      -7.467697
          ...   
2511   -3.610923
2512   -3.732443
2513   -4.438782
2514   -3.509501
2515   -7.207088
Length: 2516, dtype: float64","const    21.180386
HLT       0.257627
dtype: float64"
381,"('HLT', 'PKG')","0       -4.714971
1       -5.124362
2       -5.574191
3       -6.459111
4       -5.552530
          ...    
2511   -13.656469
2512   -15.196814
2513   -17.817192
2514   -17.393620
2515   -26.767121
Length: 2516, dtype: float64","const    21.006677
HLT       0.801772
dtype: float64"
382,"('HOLX', 'MCHP')","0        0.593687
1        0.232780
2        0.561699
3        0.581385
4        0.800926
          ...    
2511   -15.360589
2512   -16.900702
2513   -16.394073
2514   -16.946133
2515    -8.242684
Length: 2516, dtype: float64","const   -16.201419
HOLX      1.190214
dtype: float64"
383,"('HOLX', 'MNST')","0      -0.252861
1      -0.480668
2      -0.101416
3      -0.005011
4      -0.049053
          ...   
2511    1.366077
2512    0.430561
2513   -0.367944
2514   -1.615257
2515    3.505026
Length: 2516, dtype: float64","const    0.197984
HOLX     0.653534
dtype: float64"
384,"('HOLX', 'MTD')","0        26.749199
1        21.757245
2        18.183891
3        19.184873
4        18.285220
           ...    
2511    110.108912
2512     97.779197
2513     98.285829
2514     94.017177
2515    258.128718
Length: 2516, dtype: float64","const   -408.361216
HOLX      23.048132
dtype: float64"
385,"('HOLX', 'NCLH')","0      -13.286283
1      -14.173444
2      -12.925982
3      -12.812400
4      -12.518217
          ...    
2511     5.839534
2512     4.804755
2513     4.919828
2514     6.161334
2515    -0.185961
Length: 2516, dtype: float64","const    81.730624
HOLX     -0.820906
dtype: float64"
386,"('HOLX', 'TER')","0        7.236398
1        7.183388
2        7.510555
3        7.387752
4        7.001398
          ...    
2511    10.093860
2512     6.342367
2513     7.238540
2514     5.423327
2515    22.867955
Length: 2516, dtype: float64","const   -57.222730
HOLX      2.258371
dtype: float64"
387,"('HON', 'NSC')","0       17.694149
1       18.029006
2       17.597636
3       18.019364
4       17.639251
          ...    
2511   -16.640773
2512   -19.786478
2513   -18.782742
2514   -17.512480
2515    -0.953525
Length: 2516, dtype: float64","const   -41.317497
HON       1.400225
dtype: float64"
388,"('HON', 'TXN')","0        4.149928
1        4.216125
2        4.682216
3        4.827979
4        5.024794
          ...    
2511   -10.113487
2512   -12.359735
2513   -13.978731
2514   -11.644534
2515     2.851467
Length: 2516, dtype: float64","const   -48.423116
HON       1.086834
dtype: float64"
389,"('HON', 'WAT')","0        0.560208
1       -0.553013
2       -0.711410
3       -0.628454
4       -1.611093
          ...    
2511    55.599867
2512    53.493154
2513    50.803176
2514    56.493143
2515    74.482804
Length: 2516, dtype: float64","const   -12.980838
HON       1.666641
dtype: float64"
390,"('HON', 'YUM')","0       -2.150895
1       -2.563247
2       -2.398203
3       -2.447150
4       -2.485260
          ...    
2511    -7.121221
2512    -5.295905
2513    -6.044118
2514    -5.508106
2515    13.870273
Length: 2516, dtype: float64","const   -3.325330
HON      0.630013
dtype: float64"
391,"('HPE', 'KMI')","176     9.532278
177     9.544530
178     9.373968
179     8.180045
180     7.843335
          ...   
2511    6.235266
2512    7.211608
2513    6.833407
2514    6.546255
2515    5.574533
Length: 2340, dtype: float64","const    3.878751
HPE      0.805945
dtype: float64"
392,"('HPE', 'L')","176     0.870217
177     0.673549
178     1.113849
179     0.700808
180     0.727401
          ...   
2511    4.092389
2512    6.511827
2513    5.634713
2514    4.331017
2515    4.294395
Length: 2340, dtype: float64","const    7.644620
HPE      3.478669
dtype: float64"
393,"('HPE', 'MAR')","176      9.586581
177      8.817749
178     10.486781
179     10.091277
180      8.319328
          ...    
2511    28.777510
2512    39.515676
2513    34.297158
2514    28.046589
2515    37.988365
Length: 2340, dtype: float64","const   -53.661590
HPE      14.887875
dtype: float64"
394,"('HPE', 'OKE')","176      4.310970
177      3.414469
178      3.973490
179      2.423160
180      2.053609
          ...    
2511     4.678452
2512    10.146299
2513     7.520128
2514     5.522109
2515     3.488511
Length: 2340, dtype: float64","const   -24.004825
HPE       5.449097
dtype: float64"
395,"('HPE', 'PRU')","176      2.116754
177      1.740244
178      2.380866
179      2.640088
180      3.243334
          ...    
2511    -1.227667
2512     0.693806
2513    -2.167904
2514    -8.810616
2515   -10.139506
Length: 2340, dtype: float64","const    11.931212
HPE       5.193792
dtype: float64"
396,"('HPE', 'RTX')","176     -2.432084
177     -1.341961
178      0.696483
179      0.577383
180      0.884490
          ...    
2511    13.403090
2512    17.930332
2513    14.577343
2514    12.784699
2515    11.676587
Length: 2340, dtype: float64","const    12.289656
HPE       4.872923
dtype: float64"
